"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"ESV_100","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Siphonobacter"
"ESV_10003","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus"
"ESV_10004","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Family Sphingomonadaceae"
"ESV_10005","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rugamonas"
"ESV_10006","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_10007","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_10008","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ESV_1003","Bacteria","Planctomycetes","vadinHA49","Class vadinHA49","Class vadinHA49","Class vadinHA49"
"ESV_1004","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter"
"ESV_10059","Bacteria","Patescibacteria","Microgenomatia","Candidatus_Shapirobacteria","Order Candidatus_Shapirobacteria","Order Candidatus_Shapirobacteria"
"ESV_10063","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ESV_10064","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_10065","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Order Oligoflexales","Order Oligoflexales"
"ESV_10066","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_10068","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"ESV_10071","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Family Saprospiraceae"
"ESV_10073","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Order Cytophagales","Order Cytophagales"
"ESV_10078","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767","Family AKYH767"
"ESV_10080","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_10086","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV_10087","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_10088","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Family Oligoflexaceae"
"ESV_10089","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae","Family Babeliaceae"
"ESV_1009","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"ESV_10090","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_10091","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_10105","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","FFCH7168"
"ESV_10118","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"ESV_1012","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Family Pedosphaeraceae"
"ESV_10121","Bacteria","Bacteroidetes","Ignavibacteria","SJA-28","Order SJA-28","Order SJA-28"
"ESV_10122","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"ESV_10123","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_10126","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Family Caulobacteraceae"
"ESV_10128","Bacteria","Actinobacteria","Actinobacteria","Class Actinobacteria","Class Actinobacteria","Class Actinobacteria"
"ESV_1013","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sandarakinorhabdus"
"ESV_10132","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Family Caldilineaceae"
"ESV_10134","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Family Chitinophagaceae"
"ESV_10137","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
