,SampleID,Block,Position,Order,Timing,DNA_Qubit,Chla_curve,g_DNA_wet,g_chla_wet,wet_dry_convert,g_DNA_dry,g_chla_dry,Group,Treatment_description
P111,P111,1,11,AL,2,0,-0.12,0.43,23.319,0.8011,0.344,18.681,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P112,P112,1,12,BO,2,0,3.55,0.38,10.6,0.794,0.302,8.416,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P113,P113,1,13,OO,2,0.813,246.6,0.47,24.55,0.8038,0.378,19.733,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P114,P114,1,14,OB,2,0.494,NA,0.47,24.579,0.7873,0.37,19.351,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P116,P116,1,16,NO,1,0,56.54,0.351,11.202,0.794,0.279,8.894,NO1,"Sediment added to experimental holes with no mat, sampled after one season"
P121,P121,1,21,OB,2,0.208,308.61,0.31,22.336,0.7833,0.243,17.496,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P122,P122,1,22,BB,2,0.419,18.06,0.33,25.316,0.7837,0.259,19.84,BB2,"Black mat added to experimental holes initially and then later, sampled after two seasons"
P123,P123,1,23,BO,2,0.08,113.73,0.51,24.981,0.8012,0.409,20.015,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P124,P124,1,24,AL,2,0.357,150.14,0.34,34.022,0.8113,0.276,27.602,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P125,P125,1,25,NO,2,0.053,16.58,0.33,25.12,0.8024,0.265,20.156,NO2,"Sediment added to experimental holes with no mat, sampled after two seasons"
P126,P126,1,26,OO,2,0.307,365.7,0.36,24.04,0.7961,0.287,19.138,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P141,P141,1,41,OO,1,0.072,-0.04,0.305,6.742,0.794,0.242,5.353,OO1,"Orange mat added to experimental holes initially and then later, sampled after one season"
P142,P142,1,42,OB,1,1.92,353.88,0.384,29.054,0.794,0.305,23.069,OB1,"Orange mat added to experimental holes initially and then black mat added later, sampled after one season"
P143,P143,1,43,BO,1,0.404,27.8,0.346,24.711,0.794,0.275,19.621,BO1,"Black mat added to experimental holes initially and then orange mat added later, sampled after one season"
P144,P144,1,44,BB,1,0.483,40.2,0.381,15.466,0.794,0.303,12.28,BB1,"Black mat added to experimental holes initially and then later, sampled after one season"
P145,P145,1,45,AL,1,0.52,284.99,0.374,23.656,0.794,0.297,18.783,AL1,"Both mats added to experimental holes initially and then later, sampled after one season"
P211,P211,2,11,NO,1,0,0.61,0.329,17.963,0.794,0.261,14.263,NO1,"Sediment added to experimental holes with no mat, sampled after one season"
P212,P212,2,12,OO,1,1.24,1228.88,0.347,23.162,0.794,0.276,18.391,OO1,"Orange mat added to experimental holes initially and then later, sampled after one season"
P221,P221,2,21,OB,2,0.492,334.2,0.307,25.4196,0.8173,0.251,20.775,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P222,P222,2,22,NO,2,0.292,0.13,0.39,24.755,0.7879,0.307,19.504,NO2,"Sediment added to experimental holes with no mat, sampled after two seasons"
P223,P223,2,23,BO,2,0.171,79.28,0.42,22.9856,0.7881,0.331,18.115,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P224,P224,2,24,OO,2,0.382,367.66,0.45,26.899,0.7844,0.353,21.1,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P225,P225,2,25,AL,2,0.237,30.66,0.41,26.574,0.7875,0.323,20.927,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P226,P226,2,26,BB,2,0.569,62.35,0.34,27.2718,0.7978,0.271,21.757,BB2,"Black mat added to experimental holes initially and then later, sampled after two seasons"
P231,P231,2,31,OO,2,0.265,185.58,0.51,23.011,0.7856,0.401,18.077,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P232,P232,2,32,AL,1,0.342,7.2,0.345,8.245,0.794,0.274,6.547,AL1,"Both mats added to experimental holes initially and then later, sampled after one season"
P233,P233,2,33,BO,1,0.834,831.25,0.36,22.175,0.794,0.286,17.607,BO1,"Black mat added to experimental holes initially and then orange mat added later, sampled after one season"
P234,P234,2,34,BB,1,0.265,3.23,0.368,9.71,0.794,0.292,7.71,BB1,"Black mat added to experimental holes initially and then later, sampled after one season"
P235,P235,2,35,OB,1,1.36,394.24,0.332,25.03,0.794,0.264,19.874,OB1,"Orange mat added to experimental holes initially and then black mat added later, sampled after one season"
P311,P311,3,11,BB,2,0.531,68.55,0.36,23.65,0.8011,0.288,18.946,BB2,"Black mat added to experimental holes initially and then later, sampled after two seasons"
P312,P312,3,12,OB,2,5.45,103.88,0.39,24.697,0.7863,0.307,19.419,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P313,P313,3,13,BO,2,0.111,19.34,0.35,21.867,0.7724,0.27,16.89,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P314,P314,3,14,NO,2,0.407,1.78,0.4,21.149,0.7862,0.314,16.627,NO2,"Sediment added to experimental holes with no mat, sampled after two seasons"
P315,P315,3,15,OO,2,0.213,73.37,0.35,26.785,0.7836,0.274,20.989,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P316,P316,3,16,AL,2,0,257.43,0.31,24.9513,0.7997,0.248,19.954,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P321,P321,3,21,BO,1,0.247,14.02,0.388,23.058,0.794,0.308,18.308,BO1,"Black mat added to experimental holes initially and then orange mat added later, sampled after one season"
P322,P322,3,22,NO,1,0,1010,0.351,15.893,0.794,0.279,12.619,NO1,"Sediment added to experimental holes with no mat, sampled after one season"
P323,P323,3,23,OB,1,1.77,337.15,0.396,20.07,0.794,0.314,15.936,OB1,"Orange mat added to experimental holes initially and then black mat added later, sampled after one season"
P324,P324,3,24,BB,1,0.181,4.3,0.403,20.215,0.794,0.32,16.051,BB1,"Black mat added to experimental holes initially and then later, sampled after one season"
P325,P325,3,25,OO,1,0.335,34.69,0.394,17.692,0.794,0.313,14.047,OO1,"Orange mat added to experimental holes initially and then later, sampled after one season"
P326,P326,3,26,AL,1,0.178,50.44,0.363,23.778,0.794,0.288,18.88,AL1,"Both mats added to experimental holes initially and then later, sampled after one season"
P412,P412,4,12,OO,1,0.952,712.15,0.337,14.851,0.794,0.268,11.792,OO1,"Orange mat added to experimental holes initially and then later, sampled after one season"
P416,P416,4,16,BO,1,0.17,13.73,0.395,12.768,0.794,0.314,10.138,BO1,"Black mat added to experimental holes initially and then orange mat added later, sampled after one season"
P421,P421,4,21,NO,1,0,0.71,0.31,10.038,0.794,0.246,7.97,NO1,"Sediment added to experimental holes with no mat, sampled after one season"
P422,P422,4,22,OB,1,0.271,277.11,0.325,21.18,0.794,0.258,16.817,OB1,"Orange mat added to experimental holes initially and then black mat added later, sampled after one season"
P423,P423,4,23,AL,1,0.229,18.94,0.348,12.527,0.794,0.276,9.946,AL1,"Both mats added to experimental holes initially and then later, sampled after one season"
P425,P425,4,25,BB,1,3.35,47.49,0.311,6.922,0.794,0.247,5.496,BB1,"Black mat added to experimental holes initially and then later, sampled after one season"
P431,P431,4,31,OB,2,0.24,187.55,0.33,22.552,0.7839,0.259,17.679,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P432,P432,4,32,OO,2,0.628,395.22,0.55,25.367,0.8187,0.45,20.768,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P433,P433,4,33,BB,2,0.357,28.49,0.34,24.128,0.7812,0.266,18.849,BB2,"Black mat added to experimental holes initially and then later, sampled after two seasons"
P434,P434,4,34,BO,2,0.074,730.85,0.35,22.0336,0.787,0.275,17.34,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P435,P435,4,35,AL,2,0.215,21.5,0.37,12.431,0.7952,0.294,9.885,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P511,P511,5,11,BB,1,0.28,2.84,0.342,18.986,0.794,0.272,15.075,BB1,"Black mat added to experimental holes initially and then later, sampled after one season"
P512,P512,5,12,NO,1,0,6.79,0.43,17.641,0.794,0.341,14.007,NO1,"Sediment added to experimental holes with no mat, sampled after one season"
P513,P513,5,13,BO,1,0.228,770.22,0.404,26.725,0.794,0.321,21.22,BO1,"Black mat added to experimental holes initially and then orange mat added later, sampled after one season"
